"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","00016576","英商飛思特有限公司","臺北市大同區延平北路一段104號10樓","陳良辰","0","1140520"
"2","00237655","阿拉伯聯合大公國商雷克瀨貿易有限公司","桃園市蘆竹區南崁路1段218號9樓之2","穆家威","0","1140506"
"3","28115664","敏節生醫股份有限公司","新竹縣竹北市生醫路二段6-2號3樓(C313-C315)","陳宣豪","2000000","1140516"
"4","29188881","奧衡科技有限公司","高雄市前鎮區復興四路10號2樓之6","陳繹仁","1000000","1140512"
"5","29188995","鍇睿科技股份有限公司","臺中市大里區東湖里中興路一段159之1號3樓","王妤甄","1000000","1140528"
"6","60635925","塔羅美觀有限公司","桃園市中壢區青溪里領航北路二段220號","李梓菲","500000","1140526"
"7","60635930","沅盛投資有限公司","桃園市桃園區江南二街35號9樓","林素如","23000000","1140526"
"8","60635946","穩甲工程有限公司","桃園市蘆竹區中興路200號","康好","1000000","1140527"
"9","60635951","聖翔興企業有限公司","桃園市八德區福興里長興一路30號18樓","鄭翔文","2000000","1140527"
"10","60635967","芸享知識科技有限公司","桃園市桃園區龍安街88號(1樓)","江宗諺","1000000","1140527"
"11","60635973","陸陸伍有限公司","桃園市平鎮區高雙里高幼路30巷30號","沈金城","2000000","1140527"
"12","60635988","萬佳興業有限公司","桃園市楊梅區高榮里快速路五段428巷101號","李冠良","500000","1140527"
"13","60635994","耀盛貿易有限公司","桃園市觀音區草漯里福昌街78號四樓之3","游春勳","2000000","1140527"
"14","60636001","景旭工程有限公司","桃園市桃園區中正里中山路690號(1樓)","邱昶濬","2000000","1140527"
"15","60636017","豪享營有限公司","桃園市平鎮區環南路2段265號3樓之7","官志賢","200000","1140527"
"16","60636023","昇馳國際貿易有限公司","桃園市蘆竹區中華街34巷12號(1樓)","廖泓閔","200000","1140527"
"17","60636038","國際策創管理顧問有限公司","桃園市中壢區內定里合圳北路13號","張文嘉","100000","1140527"
"18","60636059","胖福星土地開發有限公司","桃園市龍潭區中山里中豐路中山段181號(1樓)","余佳沛","2000000","1140527"
"19","60636065","特格氣體設備股份有限公司","桃園市龍潭區上林里民生路700巷56弄43號(1樓)","湯明姝","6000000","1140527"
"20","60636071","兆泓數位有限公司","桃園市桃園區北埔里莊敬路二段34巷57號5樓","巫秋玉","100000","1140527"
"21","60636086","妍豐建設有限公司","桃園市八德區大正里正福街40號15樓","賴妍柔","100000","1140527"
"22","60636092","盛宇機電工程有限公司","桃園市龜山區中興里自強西路364巷3號2樓","明振宇","500000","1140527"
"23","60636109","秝廷國際有限公司","桃園市大園區橫峰里中正東路375之1及375之2號(1樓)","鄭秉峰","200000","1140527"
"24","60636115","得富貿易實業有限公司","桃園市桃園區桃鶯路249巷13號(1樓)","陳庭威","2000000","1140527"
"25","60636121","達益精密有限公司","桃園市八德區永豐里開隆街76巷12弄1號(1樓)","黃世欽","1000000","1140527"
"26","60636136","大超有限公司","桃園市桃園區同安里藝文一街86之6號5樓","鍾明叡","500000","1140527"
"27","60636157","路加國際家居股份有限公司","桃園市桃園區大興里春日路983號","蔣學正","1000000","1140527"
"28","60636163","青埔大象股份有限公司","桃園市中壢區高鐵站前西路二段57號","蔡宛真","5000000","1140527"
"29","60636179","創想雲科技有限公司","桃園市桃園區同安里藝文一街86之2號4樓","耿遵瑞","500000","1140527"
"30","60636190","言華科技有限公司","桃園市平鎮區高雙里長安路582號(1樓)","葉雲壕","500000","1140528"
"31","60636207","中華薪創文化傳媒有限公司","桃園市八德區公園路138號14樓","劉軒伶","300000","1140528"
"32","60636229","經緯國際物流有限公司","桃園市蘆竹區南崁路一段18號（2樓）","王義龍","5000000","1140528"
"33","60636234","銘鍊科技股份有限公司","桃園市中壢區延平路500號10樓之4","徐錦容","1000000","1140528"
"34","60636240","開卷圖書數位科技有限公司","桃園市中壢區仁祥里華祥一街5號(1樓)","張定瑋","200000","1140528"
"35","60636255","洗雲科技股份有限公司","桃園市中壢區中建里中央西路1段1號4樓","蔡尚志","3000000","1140528"
"36","60636261","飛訊移動科技有限公司","桃園市蘆竹區南崁路265號6樓之6","黃配序","500000","1140528"
"37","60636282","鉅遊工程有限公司","桃園市桃園區同安里藝文一街86之2號4樓","周冠宇","500000","1140528"
"38","60636298","欣視界國際有限公司","桃園市蘆竹區中正路109巷58號","謝欣堯","1000000","1140528"
"39","60636305","日玥訢晨有限公司","桃園市八德區大和里金和路12號5樓","洪洛妍","1000000","1140528"
"40","60636311","偉爾服務有限公司","桃園市桃園區中正路1221號10樓","張琬容","1000000","1140528"
"41","60636327","雅樂國際有限公司","桃園市桃園區中寧里22鄰大興西路二段6號4樓之5","黃于瑄","1000000","1140528"
"42","60636332","鑽元投資股份有限公司","桃園市桃園區大有路792之1號","温佳穎","18000000","1140528"
